brand,name,price,old_price,sizes
Nike,Кроссовки женские Nike Air Zoom Alphafly Next% 3 Fuchsia Glow/Purple Dynasty,44890,,"['38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
LOWA,Ботинки женские Lowa Tibet Evo 400 Gtx Slate,43480,,"['38', '39', '39(1/2)', '40', '41', '41(1/2)', '42']"
Dolomite,Ботинки женские Dolomite Cinquantaquattro Low Evo Light Blue,16990,,"['37(1/2)', '38', '38(2/3)', '39(1/2)', '40', '40(2/3)', '41(1/2)', '42']"
Saucony,Кроссовки мужские Saucony Guide 19 Cobalt/Navy,18480,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48', '49']"
Saucony,Кроссовки женские Saucony Triumph 23 Mauve/Black,21980,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42', '42(1/2)']"
Saucony,Кроссовки Saucony Endorphin Elite 2 Splash/Fire,34980,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '48']"
Icebug,Кроссовки мужские Icebug Jarv Gaiter Rb9X Gtx Ice Blue/Orange,17388,28980.0,"['41(1/2)', '42(1/2)', '45', '46']"
Asics,Кроссовки женские ASICS Gel-Cumulus 28 Cream/Glacier Grey,16980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42', '42(1/2)']"
Hoka,Кроссовки мужские Hoka Bondi 9 Cobalt Blue/Ultramarine,24480,,"['41(1/3)', '42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)', '48']"
Altra,Кроссовки мужские Altra Timp 6 White/Lime,21890,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48', '49']"
Icebug,Кроссовки женские Icebug Rover 2 Bugrip Gtx True Black,18888,31480.0,"['38', '39', '42']"
Saucony,Кроссовки женские Saucony Peregrine 16 Black/Carbon,18480,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42', '42(1/2)']"
The North Face,Кроссовки женские The North Face Vectiv Enduris 4 White Ash/Opal Frost,17390,,"['37(1/2)', '39', '40(1/2)', '41', '41(1/2)', '42']"
Altra,Кроссовки женские Altra Torin 8 Gtx Black/Mint,13194,21990.0,"['37(1/2)', '38', '38(1/2)', '39', '40']"
Hoka,Кроссовки мужские Hoka Speedgoat 6 Gtx Sea Glass/Fern,13188,21980.0,"['42', '45(1/3)', '46']"
Salomon,Кроссовки мужские Salomon Aero Glide 4 Grvl Beach Ball/Asphalt/Vanilla Ice,20980,,"['42', '42(2/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)', '48']"
Salomon,Кроссовки женские Salomon Aero Blaze 3 Transparent Yellow/White/Nectarine,18480,,"['38', '38(2/3)', '40', '40(2/3)', '41(1/3)']"
Saucony,Кроссовки женские Saucony Xodus Ultra 4 White/Citron,19480,,"['38', '38(1/2)', '39', '40', '40(1/2)', '41', '42(1/2)']"
LOWA,Ботинки мужские Lowa Randir Gtx Mid Navy/Flame,32480,,"['41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Mizuno,Кроссовки мужские Mizuno Neo Zen 2 Pale Khaki/Snow White/Granite Green,16490,,"['44', '44(1/2)', '45', '46', '46(1/2)', '47']"
Asics,Кроссовки женские ASICS Gel-Cumulus 27 Gtx Brown Stone/Dark Pink Clay,12288,20480.0,"['39', '39(1/2)', '40', '40(1/2)']"
Salomon,Кроссовки Salomon Spikecross 6 Gtx Black/Surf The Web/Green Gecko,14988,24980.0,"['38', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)']"
Hoka,Кроссовки мужские Hoka Clifton 10 Ash Grey/Neon Green,21980,,"['41(1/3)', '42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)', '48']"
LOWA,Ботинки женские Lowa Renegade Evo Gtx Mid Slateblue/Dune,28980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '41', '41(1/2)', '42']"
Asics,Кроссовки женские ASICS Noosa Tri 16 Digital Sakura/Amethyst,15980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42']"
Saucony,Кроссовки мужские Saucony Guide 19 Crimson/Fire,18480,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48']"
Bestard,Ботинки мужские Bestard Sarek Ofs Серый,18420,36840.0,"['42', '42(1/2)', '43', '44(1/2)', '45(1/2)', '46', '46(1/2)', '47']"
Asics,Кроссовки детские ASICS Contend 9 GS Aegean Blue/Cool Grey,7990,,"['32(1/2)', '35(1/2)', '37', '37(1/2)', '39', '39(1/2)']"
Asics,Кроссовки детские ASICS Novablast 5 GS Bluebell/Lilac Hint,10490,,"['37(1/2)', '38', '39', '39(1/2)', '40']"
La Sportiva,Кроссовки мужские La Sportiva Tempesta Gtx Black/Hawaiian Sun,17836,25480.0,"['41(1/2)', '42', '42(1/2)', '43', '44(1/2)']"
Lassie,Кроссовки детские Lassie Helsinki Dark Blue,6490,,"['26', '27', '28', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']"
Salomon,Кроссовки мужские Salomon Aero Blaze 3 Bluing/White/Acid Lime,18480,,"['41(1/3)', '42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46(2/3)']"
Saucony,Кроссовки женские Saucony Endorphin Pro 5 Fire/Orchid,30980,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
